sepaSite,date,weeklyAverageAf,actualBiomassOnSiteTonnes,maximumBiomassAllowedTonnes,total_AF
APT1,2017-01-01,0.1,51,1545.3,0
APT1,2017-01-02,0.10214285714285716,49.354838709677416,1545.3,0
APT1,2017-01-03,0.10428571428571427,47.70967741935484,1545.3,0
APT1,2017-01-04,0.10642857142857144,46.064516129032256,1545.3,0
APT1,2017-01-05,0.10857142857142855,44.41935483870968,1545.3,0
APT1,2017-01-06,0.11071428571428572,42.774193548387096,1545.3,0
APT1,2017-01-07,0.11285714285714284,41.12903225806451,1545.3,0
APT1,2017-01-08,0.115,39.483870967741936,1545.3,0
APT1,2017-01-09,0.11428571428571428,37.83870967741936,1545.3,0
APT1,2017-01-10,0.11357142857142856,36.193548387096776,1545.3,0
APT1,2017-01-11,0.11285714285714284,34.54838709677419,1545.3,0
APT1,2017-01-12,0.11214285714285714,32.903225806451616,1545.3,0
APT1,2017-01-13,0.11142857142857145,31.258064516129032,1545.3,0
APT1,2017-01-14,0.11071428571428572,29.612903225806452,1545.3,0
APT1,2017-01-15,0.11,27.967741935483872,1545.3,0
APT1,2017-01-16,0.11285714285714286,26.32258064516129,1545.3,0
APT1,2017-01-17,0.11571428571428571,24.67741935483871,1545.3,0
APT1,2017-01-18,0.11857142857142858,23.03225806451613,1545.3,0
APT1,2017-01-19,0.12142857142857144,21.387096774193548,1545.3,0
APT1,2017-01-20,0.12428571428571428,19.741935483870968,1545.3,0
APT1,2017-01-21,0.12714285714285714,18.09677419354839,1545.3,0
APT1,2017-01-22,0.13,16.451612903225808,1545.3,0
APT1,2017-01-23,0.13285714285714287,14.806451612903224,1545.3,0
APT1,2017-01-24,0.1357142857142857,13.161290322580648,1545.3,0
APT1,2017-01-25,0.13857142857142857,11.516129032258064,1545.3,0
APT1,2017-01-26,0.14142857142857143,9.870967741935488,1545.3,0
APT1,2017-01-27,0.1442857142857143,8.225806451612904,1545.3,0
APT1,2017-01-28,0.14714285714285713,6.58064516129032,1545.3,0
APT1,2017-01-29,0.15,4.935483870967744,1545.3,0
APT1,2017-01-30,0.15,3.2903225806451672,1545.3,0
APT1,2017-01-31,0.15,1.6451612903225763,1545.3,0
APT1,2017-02-01,0.15,0,1545.3,0
APT1,2017-02-02,0.15,0,1545.3,0
APT1,2017-02-03,0.15,0,1545.3,0
APT1,2017-02-04,0.15,0,1545.3,0
APT1,2017-02-05,0.15,0,1545.3,0
APT1,2017-02-06,0.1442857142857143,0,1545.3,0
APT1,2017-02-07,0.13857142857142857,0,1545.3,0
APT1,2017-02-08,0.13285714285714284,0,1545.3,0
APT1,2017-02-09,0.12714285714285714,0,1545.3,0
APT1,2017-02-10,0.12142857142857144,0,1545.3,0
APT1,2017-02-11,0.11571428571428571,0,1545.3,0
APT1,2017-02-12,0.11,0,1545.3,0
APT1,2017-02-13,0.10857142857142855,0,1545.3,0
APT1,2017-02-14,0.10714285714285716,0,1545.3,0
APT1,2017-02-15,0.10571428571428572,0,1545.3,0
APT1,2017-02-16,0.10428571428571427,0,1545.3,0
APT1,2017-02-17,0.10285714285714286,0,1545.3,0
APT1,2017-02-18,0.10142857142857144,0,1545.3,0
APT1,2017-02-19,0.1,0,1545.3,0
APT1,2017-02-20,0.10142857142857144,0,1545.3,0
APT1,2017-02-21,0.10285714285714286,0,1545.3,0
APT1,2017-02-22,0.10428571428571427,0,1545.3,0
APT1,2017-02-23,0.10571428571428572,0,1545.3,0
APT1,2017-02-24,0.10714285714285716,0,1545.3,0
APT1,2017-02-25,0.10857142857142855,0,1545.3,0
APT1,2017-02-26,0.11,0,1545.3,0
APT1,2017-02-27,0.10857142857142855,0,1545.3,0
APT1,2017-02-28,0.10714285714285716,0,1545.3,0
APT1,2017-03-01,0.10571428571428572,0,1545.3,0
APT1,2017-03-02,0.10428571428571427,0,1545.3,0
APT1,2017-03-03,0.10285714285714286,0,1545.3,0
APT1,2017-03-04,0.10142857142857144,0,1545.3,0
APT1,2017-03-05,0.1,0,1545.3,0
APT1,2017-03-06,0.10285714285714286,0,1545.3,0
APT1,2017-03-07,0.10571428571428572,0,1545.3,0
APT1,2017-03-08,0.10857142857142855,0,1545.3,0
APT1,2017-03-09,0.11142857142857145,0,1545.3,0
APT1,2017-03-10,0.11428571428571428,0,1545.3,0
APT1,2017-03-11,0.11714285714285712,0,1545.3,0
APT1,2017-03-12,0.12,0,1545.3,0
APT1,2017-03-13,0.11142857142857145,0,1545.3,0
APT1,2017-03-14,0.10285714285714286,0,1545.3,0
APT1,2017-03-15,0.09428571428571428,0,1545.3,0
APT1,2017-03-16,0.08571428571428572,0,1545.3,0
APT1,2017-03-17,0.07714285714285714,0,1545.3,0
APT1,2017-03-18,0.06857142857142857,0,1545.3,0
APT1,2017-03-19,0.06,0,1545.3,0
APT1,2017-03-20,0.05857142857142857,0,1545.3,0
APT1,2017-03-21,0.05714285714285714,0,1545.3,0
APT1,2017-03-22,0.05571428571428571,0,1545.3,0
APT1,2017-03-23,0.05428571428571428,0,1545.3,0
APT1,2017-03-24,0.05285714285714286,0,1545.3,0
APT1,2017-03-25,0.05142857142857143,0,1545.3,0
APT1,2017-03-26,0.05,0,1545.3,0
APT1,2017-03-27,0.05428571428571428,0,1545.3,0
APT1,2017-03-28,0.05857142857142857,0,1545.3,0
APT1,2017-03-29,0.06285714285714286,0,1545.3,0
APT1,2017-03-30,0.06714285714285714,0,1545.3,0
APT1,2017-03-31,0.07142857142857142,0,1545.3,0
APT1,2017-04-01,0.0757142857142857,194,1545.3,0
APT1,2017-04-02,0.08,198.16666666666663,1545.3,0
APT1,2017-04-03,0.07857142857142857,202.33333333333337,1545.3,0
APT1,2017-04-04,0.07714285714285715,206.5,1545.3,0
APT1,2017-04-05,0.07571428571428572,210.66666666666663,1545.3,0
APT1,2017-04-06,0.07428571428571429,214.83333333333337,1545.3,0
APT1,2017-04-07,0.07285714285714286,219,1545.3,0
APT1,2017-04-08,0.07142857142857144,223.16666666666663,1545.3,0
APT1,2017-04-09,0.07,227.33333333333337,1545.3,0
APT1,2017-04-10,0.07428571428571429,231.5,1545.3,0
APT1,2017-04-11,0.07857142857142857,235.66666666666663,1545.3,0
APT1,2017-04-12,0.08285714285714287,239.83333333333331,1545.3,0
