Intercept,slope
1.5356660760721375,-0.017128240485567752
1.4760995949404534,-0.01603235860443877
1.4727487015276597,-0.01530548072973902
1.4830393363832959,-0.016002495065409288
1.5063387674691555,-0.01617662633305703
1.5095916090866377,-0.015325889575015864
1.4678129473521278,-0.01539053416369447
1.4610750422584504,-0.0151085023941831
1.3789417794300864,-0.01146125125618446
1.472434806258918,-0.0161740094139446
1.4971252875268817,-0.0152047239765981
1.405079795700227,-0.014014533451403004
1.458524125499718,-0.016868367364396397
1.429882456040989,-0.014213005817180976
1.4952238990559554,-0.01545157151043524
1.6511385446791036,-0.02067287305502618
1.6462517439420206,-0.0208333729833199
1.5491804544659113,-0.01733860785822253
1.484346400778882,-0.014916145295023983
1.352648505713475,-0.007862088025799362
1.4102184439298284,-0.014753066182812339
1.4749316602916374,-0.013662556943777495
1.4500926325547547,-0.012423304203622301
1.481055579239772,-0.015517942060813885
1.5344590667019538,-0.017527283714221898
1.5347657224961946,-0.01764683746450697
1.4262065725085882,-0.015110007611595285
1.4295889977205036,-0.014946369963923317
1.340816089383677,-0.011432769014694031
1.5873352622792118,-0.020963021730285764
1.3694593577429546,-0.00984097128713693
1.4966922652661967,-0.016855905237588734
1.4548695464922603,-0.012877053431938273
1.6717900883917478,-0.024743878701940655
1.3145703386628387,-0.006794821787325751
1.7100203502236213,-0.02578303056066903
1.502829552673161,-0.015554299742199398
1.5396685355692843,-0.021049419425040756
1.534054951201826,-0.019637886210018437
1.555769980390159,-0.01792815501393737
1.497177116436642,-0.014496395025896393
1.564403031627757,-0.017755925240211582
1.655531902725395,-0.021036674847925714
1.3868673219094192,-0.013570787968370496
1.390529287198926,-0.014238117097611852
1.5097910521127365,-0.0186073597441275
1.5097898795732783,-0.015414469057775696
1.3910016798670852,-0.010931024679182524
1.5141930176811662,-0.01499879628523003
1.530429599868938,-0.018533932135667477
1.4022254636118117,-0.011630099317012301
1.5854953262878522,-0.020676560852351072
1.4844602591440872,-0.016529011727357382
1.4862676302891917,-0.017063994919728747
1.4010318971198215,-0.014471324105112728
1.5485041342594794,-0.014050869950970902
1.368491724584801,-0.01045636943462729
1.479231060363524,-0.01715697351157426
1.5191272921186088,-0.015782118583654033
1.5954489255769295,-0.01884770201045423
1.3386947022313973,-0.0082749933878753755
1.3282509437012284,-0.00885739933632012
1.4752528031416972,-0.01625955224981527
1.478527574924874,-0.01713394000330686
1.5079342475776607,-0.01635596659784567
